terminal,setor,idMaquina,componente,especificacao,metrica,valorCapturado,momento
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,22.3,2025/05/06 23:58:24
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,233,2025/05/06 23:58:24
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661713,2025/05/06 23:58:24
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,86.2,2025/05/06 23:58:24
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:58:24
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,298,2025/05/06 23:58:27
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,1284,2025/05/06 23:58:29
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,14.9,2025/05/06 23:58:34
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,233,2025/05/06 23:58:34
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661723,2025/05/06 23:58:34
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,86.6,2025/05/06 23:58:34
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:58:34
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,332,2025/05/06 23:58:36
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,646,2025/05/06 23:58:38
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,16.9,2025/05/06 23:58:43
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,236,2025/05/06 23:58:43
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661732,2025/05/06 23:58:43
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,86.6,2025/05/06 23:58:43
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:58:43
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,1433,2025/05/06 23:58:45
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,936,2025/05/06 23:58:47
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,13.0,2025/05/06 23:58:52
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,235,2025/05/06 23:58:52
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661741,2025/05/06 23:58:52
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,87.2,2025/05/06 23:58:52
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:58:52
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,138,2025/05/06 23:58:54
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,226,2025/05/06 23:58:56
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,12.2,2025/05/06 23:59:01
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,235,2025/05/06 23:59:01
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661750,2025/05/06 23:59:01
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,86.8,2025/05/06 23:59:01
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:59:01
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,7158,2025/05/06 23:59:03
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,1232,2025/05/06 23:59:05
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,14.4,2025/05/06 23:59:10
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,236,2025/05/06 23:59:10
