terminal,setor,idMaquina,componente,especificacao,metrica,valorCapturado,momento
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661759,2025/05/06 23:59:10
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,86.8,2025/05/06 23:59:10
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:59:10
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,4579,2025/05/06 23:59:12
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,136900,2025/05/06 23:59:14
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,37.8,2025/05/06 23:59:19
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,236,2025/05/06 23:59:19
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661768,2025/05/06 23:59:19
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,89.0,2025/05/06 23:59:19
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:59:19
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,55994,2025/05/06 23:59:21
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,5047882,2025/05/06 23:59:23
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,21.7,2025/05/06 23:59:28
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,236,2025/05/06 23:59:28
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661777,2025/05/06 23:59:28
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,89.0,2025/05/06 23:59:28
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:59:28
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,66150,2025/05/06 23:59:30
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,718802,2025/05/06 23:59:32
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,17.5,2025/05/06 23:59:37
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,235,2025/05/06 23:59:37
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661786,2025/05/06 23:59:37
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,88.3,2025/05/06 23:59:37
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:59:37
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,385,2025/05/06 23:59:39
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,496,2025/05/06 23:59:41
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,12.7,2025/05/06 23:59:46
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,235,2025/05/06 23:59:46
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,661795,2025/05/06 23:59:46
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,88.5,2025/05/06 23:59:46
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,99.9,2025/05/06 23:59:46
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeDownload,404,2025/05/06 23:59:48
GRU,Embarque Internacional,1,Rede,MicrosoftKernelDebugNetworkAdapter,velocidadeUpload,755,2025/05/06 23:59:50
